城市编码,省区地区编码,省区,城市地区编码,城市,区县地区编码,区县
WTX_CH101010900,110000,北京市,110100,北京市,110106,丰台
WTX_CH101011000,110000,北京市,110100,北京市,110107,石景山
WTX_CH101011400,110000,北京市,110100,北京市,110109,门头沟
WTX_CH101011200,110000,北京市,110100,北京市,110111,房山
WTX_CH101010600,110000,北京市,110100,北京市,110112,通州
WTX_CH101010700,110000,北京市,110100,北京市,110114,昌平
WTX_CH101010500,110000,北京市,110100,北京市,110116,怀柔
WTX_CH101011500,110000,北京市,110100,北京市,110117,平谷
WTX_CH101011300,110000,北京市,110100,北京市,110118,密云
WTX_CH101010800,110000,北京市,110100,北京市,110119,延庆
WTX_CH101030800,120000,天津市,120100,天津市,120101,和平区
WTX_CH101031200,120000,天津市,120100,天津市,120102,河东区
WTX_CH101031300,120000,天津市,120100,天津市,120103,河西区
WTX_CH101031500,120000,天津市,120100,天津市,120104,南开区
WTX_CH101031600,120000,天津市,120100,天津市,120105,河北区
WTX_CH101031700,120000,天津市,120100,天津市,120106,红桥区
WTX_CH101030400,120000,天津市,120100,天津市,120110,东丽区
WTX_CH101030500,120000,天津市,120100,天津市,120111,西青区
WTX_CH101031000,120000,天津市,120100,天津市,120112,津南区
WTX_CH101030600,120000,天津市,120100,天津市,120113,北辰区
WTX_CH101030200,120000,天津市,120100,天津市,120114,武清区
WTX_CH101030300,120000,天津市,120100,天津市,120115,宝坻区
WTX_CH101031100,120000,天津市,120100,天津市,120116,滨海新区
WTX_CH101030700,120000,天津市,120100,天津市,120117,宁河区
WTX_CH101011600,110000,北京市,110100,北京市,110101,东城
WTX_CH101010300,110000,北京市,110100,北京市,110105,朝阳
WTX_CH101010200,110000,北京市,110100,北京市,110108,海淀
WTX_CH101010400,110000,北京市,110100,北京市,110113,顺义
WTX_CH101011100,110000,北京市,110100,北京市,110115,大兴
WTX_CH101030100,120000,天津市,120100,天津市,120100,天津
WTX_CH101030900,120000,天津市,120100,天津市,120118,静海区
WTX_CH101031400,120000,天津市,120100,天津市,120119,蓟州区
WTX_CH101090119,130000,河北省,130100,石家庄市,130102,长安区
WTX_CH101090120,130000,河北省,130100,石家庄市,130104,桥西区
WTX_CH101090121,130000,河北省,130100,石家庄市,130105,新华区
WTX_CH101090122,130000,河北省,130100,石家庄市,130107,井陉矿区
WTX_CH101090123,130000,河北省,130100,石家庄市,130108,裕华
WTX_CH101090115,130000,河北省,130100,石家庄市,130109,藁城
WTX_CH101090118,130000,河北省,130100,石家庄市,130110,鹿泉
WTX_CH101090104,130000,河北省,130100,石家庄市,130111,栾城
WTX_CH101090102,130000,河北省,130100,石家庄市,130121,井陉
WTX_CH101090103,130000,河北省,130100,石家庄市,130123,正定
WTX_CH101090105,130000,河北省,130100,石家庄市,130125,行唐
WTX_CH101090106,130000,河北省,130100,石家庄市,130126,灵寿
WTX_CH101090107,130000,河北省,130100,石家庄市,130127,高邑
WTX_CH101090108,130000,河北省,130100,石家庄市,130128,深泽
WTX_CH101090109,130000,河北省,130100,石家庄市,130129,赞皇
WTX_CH101090110,130000,河北省,130100,石家庄市,130130,无极
WTX_CH101090111,130000,河北省,130100,石家庄市,130131,平山
WTX_CH101090112,130000,河北省,130100,石家庄市,130132,元氏
WTX_CH101090113,130000,河北省,130100,石家庄市,130133,赵县
WTX_CH101090114,130000,河北省,130100,石家庄市,130181,辛集
WTX_CH101090116,130000,河北省,130100,石家庄市,130183,晋州
WTX_CH101090117,130000,河北省,130100,石家庄市,130184,新乐
WTX_CH101090501,130000,河北省,130200,唐山市,130200,唐山
WTX_CH101090513,130000,河北省,130200,唐山市,130202,路南区
WTX_CH101090514,130000,河北省,130200,唐山市,130203,路北区
WTX_CH101090515,130000,河北省,130200,唐山市,130204,古冶
WTX_CH101090516,130000,河北省,130200,唐山市,130205,开平区
WTX_CH101090502,130000,河北省,130200,唐山市,130207,丰南
WTX_CH101090503,130000,河北省,130200,唐山市,130208,丰润
WTX_CH101090509,130000,河北省,130200,唐山市,130209,曹妃甸
WTX_CH101090505,130000,河北省,130200,唐山市,130224,滦南
WTX_CH101090506,130000,河北省,130200,唐山市,130225,乐亭
WTX_CH101090507,130000,河北省,130200,唐山市,130227,迁西
WTX_CH101090508,130000,河北省,130200,唐山市,130229,玉田
WTX_CH101090510,130000,河北省,130200,唐山市,130281,遵化
WTX_CH101090511,130000,河北省,130200,唐山市,130283,迁安
WTX_CH101090530,130000,河北省,130200,唐山市,130284,滦州
WTX_CH101091101,130000,河北省,130300,秦皇岛市,130300,秦皇岛
WTX_CH101091107,130000,河北省,130300,秦皇岛市,130302,海港区
WTX_CH101091108,130000,河北省,130300,秦皇岛市,130303,山海关
WTX_CH101091106,130000,河北省,130300,秦皇岛市,130304,北戴河
WTX_CH101091104,130000,河北省,130300,秦皇岛市,130306,抚宁
WTX_CH101091102,130000,河北省,130300,秦皇岛市,130321,青龙
WTX_CH101091103,130000,河北省,130300,秦皇岛市,130322,昌黎
WTX_CH101091105,130000,河北省,130300,秦皇岛市,130324,卢龙
WTX_CH101091001,130000,河北省,130400,邯郸市,130400,邯郸
WTX_CH101091017,130000,河北省,130400,邯郸市,130402,邯山区
WTX_CH101091018,130000,河北省,130400,邯郸市,130403,丛台区
WTX_CH101091019,130000,河北省,130400,邯郸市,130404,复兴区
WTX_CH101091002,130000,河北省,130400,邯郸市,130406,峰峰
WTX_CH101091008,130000,河北省,130400,邯郸市,130407,肥乡
WTX_CH101091009,130000,河北省,130400,邯郸市,130408,永年
WTX_CH101091003,130000,河北省,130400,邯郸市,130423,临漳
WTX_CH101091004,130000,河北省,130400,邯郸市,130424,成安
WTX_CH101091005,130000,河北省,130400,邯郸市,130425,大名
WTX_CH101091006,130000,河北省,130400,邯郸市,130426,涉县
WTX_CH101091007,130000,河北省,130400,邯郸市,130427,磁县
WTX_CH101091010,130000,河北省,130400,邯郸市,130430,邱县
WTX_CH101091011,130000,河北省,130400,邯郸市,130431,鸡泽
WTX_CH101091012,130000,河北省,130400,邯郸市,130432,广平
WTX_CH101091013,130000,河北省,130400,邯郸市,130433,馆陶
WTX_CH101091014,130000,河北省,130400,邯郸市,130434,魏县
WTX_CH101091015,130000,河北省,130400,邯郸市,130435,曲周
WTX_CH101091016,130000,河北省,130400,邯郸市,130481,武安
WTX_CH101090901,130000,河北省,130500,邢台市,130500,邢台
WTX_CH101090903,130000,河北省,130500,邢台市,130502,桥东区
WTX_CH101090919,130000,河北省,130500,邢台市,130503,桥西区
WTX_CH101090902,130000,河北省,130500,邢台市,130522,临城
WTX_CH101090904,130000,河北省,130500,邢台市,130523,内丘
WTX_CH101090905,130000,河北省,130500,邢台市,130524,柏乡
WTX_CH101090906,130000,河北省,130500,邢台市,130525,隆尧
WTX_CH101090908,130000,河北省,130500,邢台市,130528,宁晋
WTX_CH101090909,130000,河北省,130500,邢台市,130529,巨鹿
WTX_CH101090910,130000,河北省,130500,邢台市,130530,新河
WTX_CH101090911,130000,河北省,130500,邢台市,130531,广宗
WTX_CH101090912,130000,河北省,130500,邢台市,130532,平乡
WTX_CH101090913,130000,河北省,130500,邢台市,130533,威县
WTX_CH101090914,130000,河北省,130500,邢台市,130534,清河
WTX_CH101090915,130000,河北省,130500,邢台市,130535,临西
WTX_CH101090916,130000,河北省,130500,邢台市,130581,南宫
WTX_CH101090917,130000,河北省,130500,邢台市,130582,沙河
WTX_CH101090201,130000,河北省,130600,保定市,130600,保定
WTX_CH101090208,130000,河北省,130600,保定市,130602,竞秀
WTX_CH101090213,130000,河北省,130600,保定市,130606,莲池
WTX_CH101090202,130000,河北省,130600,保定市,130607,满城
WTX_CH101090224,130000,河北省,130600,保定市,130608,清苑
WTX_CH101090204,130000,河北省,130600,保定市,130609,徐水
WTX_CH101090222,130000,河北省,130600,保定市,130623,涞水
WTX_CH101090203,130000,河北省,130600,保定市,130624,阜平
WTX_CH101090223,130000,河北省,130600,保定市,130626,定兴
WTX_CH101090205,130000,河北省,130600,保定市,130627,唐县
WTX_CH101090206,130000,河北省,130600,保定市,130628,高阳
WTX_CH101091202,130000,河北省,130600,保定市,130629,容城
WTX_CH101090209,130000,河北省,130600,保定市,130630,涞源
WTX_CH101090210,130000,河北省,130600,保定市,130631,望都
WTX_CH101091203,130000,河北省,130600,保定市,130632,安新
WTX_CH101090212,130000,河北省,130600,保定市,130633,易县
WTX_CH101090214,130000,河北省,130600,保定市,130634,曲阳
WTX_CH101090215,130000,河北省,130600,保定市,130635,蠡县
WTX_CH101090216,130000,河北省,130600,保定市,130636,顺平
WTX_CH101090225,130000,河北省,130600,保定市,130637,博野
WTX_CH101091204,130000,河北省,130600,保定市,130638,雄县
WTX_CH101090218,130000,河北省,130600,保定市,130681,涿州
WTX_CH101090219,130000,河北省,130600,保定市,130682,定州
WTX_CH101090220,130000,河北省,130600,保定市,130683,安国
WTX_CH101090221,130000,河北省,130600,保定市,130684,高碑店
WTX_CH101090301,130000,河北省,130700,张家口市,130700,张家口
WTX_CH101090315,130000,河北省,130700,张家口市,130702,桥东区
WTX_CH101090316,130000,河北省,130700,张家口市,130703,桥西区
WTX_CH101090302,130000,河北省,130700,张家口市,130705,宣化
WTX_CH101090317,130000,河北省,130700,张家口市,130706,下花园
WTX_CH101090310,130000,河北省,130700,张家口市,130708,万全
WTX_CH101090314,130000,河北省,130700,张家口市,130709,崇礼
WTX_CH101090303,130000,河北省,130700,张家口市,130722,张北
